mfv.testing.aa03+0001@moneyforward.vn,mfvaa@123,47999,perf01-office1
mfv.testing.aa03+0002@moneyforward.vn,mfvaa@123,48003,perf02-office1
mfv.testing.aa03+0003@moneyforward.vn,mfvaa@123,48007,perf03-office1
mfv.testing.aa03+0004@moneyforward.vn,mfvaa@123,48010,perf04-office1
mfv.testing.aa03+0005@moneyforward.vn,mfvaa@123,48012,perf05-office1
mfv.testing.aa03+0006@moneyforward.vn,mfvaa@123,79944,perf06-office1
mfv.testing.aa03+0007@moneyforward.vn,mfvaa@123,48020,perf07-office1
mfv.testing.aa03+0008@moneyforward.vn,mfvaa@123,48021,perf08-office1
mfv.testing.aa03+0009@moneyforward.vn,mfvaa@123,48022,perf09-office1
mfv.testing.aa03+0010@moneyforward.vn,mfvaa@123,48024,perf10-office1
