mfv.testing.aa03+0001@moneyforward.vn,mfvaa@123,UR57YGUZDCQ7DPXESUVVFERDJ7CWEMFR,37773
mfv.testing.aa03+0002@moneyforward.vn,mfvaa@123,374NWVZGS5HB5UPKAGFKOYON5MKBYT3Z,37774
mfv.testing.aa03+0003@moneyforward.vn,mfvaa@123,PWCK63GW3FTD3O7PAMZGBL5IIYOANQ56,37775
mfv.testing.aa03+0004@moneyforward.vn,mfvaa@123,VQSU2YGJ64O6PNFW5ZVQPEGBKAWAGYW5,37776
mfv.testing.aa03+0005@moneyforward.vn,mfvaa@123,O66RKBMTXSB2NSGOJKDX2LSW7T2SOGHI,37777
mfv.testing.aa03+0006@moneyforward.vn,mfvaa@123,P6RRSFCZHJK72AGN63NESKNYBLBG2RCM,37778
mfv.testing.aa03+0007@moneyforward.vn,mfvaa@123,3LYAQT6R3VEII6DR6VIOFLZZOTOY72XK,37779
mfv.testing.aa03+0008@moneyforward.vn,mfvaa@123,RMIWHQOBE4MJ5O2QKDYDGEGO4VLEEZAK,37780
mfv.testing.aa03+0009@moneyforward.vn,mfvaa@123,ONNDGAJTXPZ32YH35AQOSXEJLKGO327K,37781
mfv.testing.aa03+0010@moneyforward.vn,mfvaa@123,66XGHQDQUU3CCPJOVMRBTI5PTPEDYI4J,37782
