mfv.testing.aa03+0001@moneyforward.vn,mfvaa@123,74837,beta_perf1
mfv.testing.aa03+0002@moneyforward.vn,mfvaa@123,74838,beta_perf2
mfv.testing.aa03+0003@moneyforward.vn,mfvaa@123,74850,beta_perf3
mfv.testing.aa03+0004@moneyforward.vn,mfvaa@123,74852,beta_perf4
mfv.testing.aa03+0005@moneyforward.vn,mfvaa@123,74853,beta_perf5
mfv.testing.aa03+0006@moneyforward.vn,mfvaa@123,74855,beta_perf6
mfv.testing.aa03+0007@moneyforward.vn,mfvaa@123,74857,beta_perf7
mfv.testing.aa03+0008@moneyforward.vn,mfvaa erf@123,74863,beta_perf8
mfv.testing.aa03+0009@moneyforward.vn,mfvaa@123,74871,beta_perf9
mfv.testing.aa03+0010@moneyforward.vn,mfvaa@123,74874,beta_perf10
